[5.1855172890512735, 6.412664770203634]
[3.941243718592058, 0.6503330252201389]
[5.542676477135704, 6.44304004367317]
[3.325164455664091, -0.884105010573327]
[6.486185520005215, 6.146407841373529]
[2.6630272083491753, 4.524480128344073]
[2.3139022639123086, 1.9385282546286733]
[7.174174216583716, 6.531456020468237]
[-0.26351574525859484, 5.3799403358189375]
[0.3513649901910948, 2.6402563091190574]
[3.0172415314732093, -1.9831931838769823]
[-0.14205404440565542, 4.219472526550689]
[7.2970408857650595, 7.356187988349603]
[0.8963196547305623, 3.4321604449013634]
[5.109216342252489, 0.4012903830363529]
[-0.484908515692052, 4.218011329744316]
[6.535320496428939, 6.635982773300366]
[6.266910612065551, 5.810831337733858]
[2.639215294749742, 0.2761277067499652]
[3.157370193927912, 1.7903955469687938]
[2.5632622190400953, -0.027366723550615285]
[4.826884471583709, -1.2072436261127997]
[3.595524639165345, -0.3255304025451267]
[3.2844543098656587, -0.04713676304590174]
[7.120412923507044, 3.908730843296576]
[1.3210647795841186, 1.8569351302648225]
[6.672713003842976, 6.635480081429532]
[6.431752092497099, 5.9507452114966926]
[-0.23877538078444616, 3.403046703238764]
[-0.016811941522959107, 3.426911982900223]
[0.11200055566115291, 3.528637451055714]
[1.4336324494686614, 4.055107604401422]
[5.038596408467884, 6.065707237388342]
[-1.3392789114755193, 4.244005466058477]
[3.894105684008193, -0.04445760607200264]
[2.210936334811928, 1.2377753561765275]
[-1.3267844563569042, 2.002421780502094]
[4.537830147820793, -1.041846786805605]
[-0.41720433473079366, 3.4980895951941893]
[0.48154402186058315, 3.6730217352282573]
[7.279123002484601, 6.849840667068608]
[5.135022732943245, -0.13789145676689885]
[-1.3377164396154484, 2.6959005599116423]
[4.386658515668718, -1.2345515478380782]
[-1.170704086688389, 5.189851205806091]
[5.928543655271351, 4.853533693168568]
[0.3915365444177416, 3.777759610345394]
[-0.37671466088768, 4.485824803198609]
[4.05762652356952, -0.5526939325310954]
[2.9367328017791134, -0.1620073763996362]
[-1.581165060862568, 3.9836067753360473]
[6.265167790182487, 7.817048890482613]
[0.13489927479975863, 3.379056644621891]
